seed,type,index_id__not_used,value
0,0,0,0.0
0,0,1,65.0
0,1,0,4169.0
0,1,1,23780.0
0,1,2,25667.0
0,1,3,30443.0
0,1,4,20787.0
0,1,5,13728.0
0,1,6,860.0
0,1,7,15599.0
0,1,8,13680.0
0,1,9,22970.0
0,1,10,5500.0
0,1,11,27067.0
0,1,12,6850.0
0,1,13,11190.0
0,1,14,32378.0
0,1,15,17767.0
0,1,16,22910.0
0,1,17,11238.0
0,1,18,4773.0
0,1,19,29240.0
0,1,20,33578.0
0,1,21,23378.0
0,1,22,28216.0
0,1,23,12762.0
0,1,24,10825.0
0,1,25,1519.0
0,1,26,14390.0
0,1,27,2717.0
0,1,28,9219.0
0,1,29,13682.0
0,1,30,34971.0
0,1,31,18031.0
0,1,32,14777.0
0,1,33,22082.0
0,1,34,10747.0
0,1,35,11667.0
0,1,36,34909.0
0,1,37,8053.0
0,1,38,8492.0
0,1,39,32221.0
0,1,40,33151.0
0,1,41,2037.0
0,1,42,27197.0
0,2,10,10.0
0,2,11,11.0
0,2,13,13.0
0,2,19,19.0
0,2,21,21.0
0,2,26,26.0
0,2,30,30.0
0,2,41,41.0
0,2,43,43.0
0,2,49,49.0
0,2,52,52.0
0,2,55,55.0
0,2,63,63.0
0,2,73,73.0
0,2,75,75.0
0,2,77,77.0
0,2,80,80.0
0,2,81,81.0
0,2,96,96.0
0,2,98,98.0
0,2,102,102.0
0,2,103,103.0
0,2,105,105.0
0,2,107,107.0
0,2,109,109.0
0,2,110,110.0
0,2,111,111.0
0,2,113,113.0
0,2,114,114.0
0,2,116,116.0
0,2,120,120.0
0,2,123,123.0
0,2,132,132.0
0,2,135,135.0
0,2,136,136.0
0,2,162,162.0
0,2,164,164.0
0,2,165,165.0
0,2,167,167.0
0,2,176,176.0
0,2,182,182.0
0,2,189,189.0
0,2,200,200.0
0,2,202,202.0
0,2,204,204.0
0,2,205,205.0
0,2,212,212.0
0,2,216,216.0
0,2,218,218.0
0,2,220,220.0
0,2,232,232.0
0,2,233,233.0
0,2,244,244.0
0,2,251,251.0
0,2,264,264.0
0,2,272,272.0
0,2,285,285.0
0,2,291,291.0
0,2,294,294.0
0,2,311,311.0
0,2,321,321.0
0,2,332,332.0
0,2,333,333.0
0,2,334,334.0
0,2,336,336.0
0,2,342,342.0
0,2,343,343.0
0,2,350,350.0
0,2,363,363.0
0,2,364,364.0
0,2,365,365.0
0,2,369,369.0
0,2,371,371.0
0,2,373,373.0
0,2,374,374.0
0,2,376,376.0
0,2,378,378.0
0,2,381,381.0
0,2,388,388.0
0,2,391,391.0
0,2,392,392.0
0,2,394,394.0
0,2,396,396.0
0,2,397,397.0
0,2,399,399.0
0,2,409,409.0
0,2,412,412.0
0,2,417,417.0
0,2,431,431.0
0,2,438,438.0
0,2,440,440.0
0,2,451,451.0
0,2,456,456.0
0,2,457,457.0
0,2,460,460.0
0,2,463,463.0
0,2,468,468.0
0,2,480,480.0
0,2,482,482.0
0,2,494,494.0
0,2,501,501.0
0,2,503,503.0
0,2,504,504.0
0,2,505,505.0
0,2,514,514.0
0,2,516,516.0
0,2,520,520.0
0,2,523,523.0
0,2,527,527.0
0,2,535,535.0
0,2,547,547.0
0,2,552,552.0
0,2,572,572.0
0,2,576,576.0
0,2,577,577.0
0,2,598,598.0
0,2,599,599.0
0,2,605,605.0
0,2,616,616.0
0,2,620,620.0
0,2,622,622.0
0,2,625,625.0
0,2,626,626.0
0,2,641,641.0
0,2,650,650.0
0,2,659,659.0
0,2,660,660.0
0,2,661,661.0
0,2,662,662.0
0,2,667,667.0
0,2,670,670.0
0,2,682,682.0
0,2,687,687.0
0,2,691,691.0
0,2,700,700.0
0,2,702,702.0
0,2,703,703.0
0,2,704,704.0
0,2,725,725.0
0,2,726,726.0
0,2,730,730.0
0,2,735,735.0
0,2,741,741.0
0,2,746,746.0
0,2,751,751.0
0,2,754,754.0
0,2,756,756.0
0,2,757,757.0
0,2,759,759.0
0,2,761,761.0
0,2,765,765.0
0,2,773,773.0
0,2,776,776.0
0,2,780,780.0
0,2,797,797.0
0,2,799,799.0
0,2,808,808.0
0,2,812,812.0
0,2,817,817.0
0,2,825,825.0
0,2,828,828.0
0,2,830,830.0
0,2,834,834.0
0,2,846,846.0
0,2,848,848.0
0,2,851,851.0
0,2,858,858.0
0,2,862,862.0
0,2,864,864.0
0,2,867,867.0
0,2,869,869.0
0,2,875,875.0
0,2,883,883.0
0,2,885,885.0
0,2,887,887.0
0,2,890,890.0
0,2,891,891.0
0,2,895,895.0
0,2,903,903.0
0,2,908,908.0
0,2,913,913.0
0,2,922,922.0
0,2,926,926.0
0,2,928,928.0
0,2,931,931.0
0,2,938,938.0
0,2,941,941.0
0,2,952,952.0
0,2,954,954.0
0,2,960,960.0
0,2,962,962.0
0,2,964,964.0
0,2,965,965.0
0,2,966,966.0
0,2,975,975.0
0,2,985,985.0
0,2,987,987.0
0,2,988,988.0
0,2,991,991.0
0,2,992,992.0
0,2,1003,1003.0
0,2,1016,1016.0
0,2,1023,1023.0
0,2,1028,1028.0
0,2,1029,1029.0
0,2,1033,1033.0
0,2,1038,1038.0
0,2,1039,1039.0
0,2,1047,1047.0
0,2,1059,1059.0
0,2,1064,1064.0
0,2,1072,1072.0
0,2,1073,1073.0
0,2,1075,1075.0
